reportDate,accountsPayable,capitalSurplus,commonStock,currentAssets,currentCash,currentLongTermDebt,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,retainedEarnings,shareholderEquity,shortTermInvestments,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock,symbol
2019-05-31,169101000.0,6050800000,61000,5190045000.0,2082909999.9999998,3145668000,10697874000.0,1917148999.9999995,,987938000.0,,0.0,-14101068000.000002,655821000,438398000.0,4326550000.0,925295000,1205020000.0,1272668000.0,13183938000.0,9931693000.0,1396069000,19665909000.0,7687097000.0,9734216000.0,9158742000,ADBE
2019-06-30,4724000000.0,,55404000000,75300000000.0,45534000000,,,,1745000000,62391000000.0,,0.0,17645000000.0,12426000000,2409000000.0,21714000000.0,15664000000,15200000000.0,22957000000.0,160467000000.0,17645000000.0,874000000,154652000000.0,42351000000.0,136877000000.0,169385000000,IBM
2019-05-31,1562995000.0,6059471000,72000,14141660000.0,4769158000,,6078816000,843842999.9999999,,19855000.0,235286000,19133000.0,267139000.00000104,1273457000,1235017000.0,8472035000.0,1873173000,1341548000.0,8134147000.0,11709317000.0,13737324000.0,3338000,28156360000.0,10551987000.0,14013402000.0,3761010000,ACN
2019-04-30,2050000000.0,14383000000,1000000,9249000000.0,4110000000,178000000,12854000000,1794000000,,5915000000.0,1548000000,0.0,-12681000000.0,2512000000,457000000.0,7585000000.0,305000000,5097000000.0,2413000000.0,2127000000.0,16446000000.0,2269000000,33154000000.0,10488000000.0,16708000000.0,,CRM
2019-06-30,412000000.0,2003000000,1741000000,7956000000.0,3813000000,1249000000,4362000000,557000000,2079000000,4558000000.0,300000000,0.0,4124000000.0,583000000,240000000.0,898000000.0,1524000000,3365000000.0,1419000000.0,38974000000.0,8486000000.0,405000000,17384000000.0,2646000000.0,8898000000.0,33775000000,TXN
2019-04-30,759000000.0,,22288000000,10677000000.0,,3537000000,36662000000,20188000000,1034000000,34011000000.0,,0.0,-81874000000.0,735000000,831000000.0,3917000000.0,4359000000,2654000000.0,3484000000.0,,22172000000.0,,70916000000.0,8503000000.0,48744000000.0,,AVGO
2019-04-30,368000000.0,6317000000,1000000,10629000000.0,2772000000,,618000000,54000000,1426000000,2474000000.0,,0.0,7766000000.0,110000000,159000000.0,628000000.0,618000000,2009000000.0,1242000000.0,12862000000,9704000000.0,5030000000,14021000000.0,1183000000.0,4317000000.0,9474000000,NVDA
2019-03-31,1667000000.0,,384000000,16324000000.0,10135000000,,6299000000,2510000000,1725000000,15405000000.0,203000000,0.0,-2433000000.0,1910000000,631000000.0,7424000000.0,4235000000,2945000000.0,3626000000.0,3309000000,3866000000.0,195000000,34023000000.0,10517000000.0,30157000000.0,,QCOM
2019-03-31,151000000.0,682000000,,7930000000.0,5881000000,115000000,153000000,78000000,,10095000000.0,13517000000,-4000000.0,5639000000.0,64000000,492000000.0,4145000000.0,487000000,2648000000.0,1074000000.0,-8868000000,5792000000.0,,24390000000.0,4714000000.0,18602000000.0,,UBER
2019-04-30,383000000.0,,5782000000,4249000000.0,2946000000,,1611000000,43000000,,398000000.0,13000000,0.0,2459000000.0,202000000,638000000.0,1520000000.0,145000000,799000000.0,262000000.0,9789000000,4070000000.0,400000000,6917000000.0,2291000000.0,2847000000.0,11463000000,INTU
2019-03-31,156300000.0,1140200000,63900000,40924000000.0,1826200000,,2316100000,1062900000.0000001,,2002300000.0,3200000,0.0,-2939000000.0000005,3098700000,36605300000.0,38910000000.0,1166000000,765800000.0,2485200000.0,17368600000,5246200000.0,7300000,48196300000.0,39166000000.0,42950100000.0,12914600000,ADP
2019-06-30,7260000000.0,38242000000,,8114000000.0,1105000000,1263000000,1901000000,36587000000,998000000,38645000000.0,,0.0,25066000000.0,1707000000,1688000000.0,2382000000.0,913000000,34875000000.0,4305000000.0,-10454000000,26967000000.0,,84788000000.0,13173000000.0,57821000000.0,8000000,TMUS
2019-04-30,150000000.0,30000000,4000000,5288000000.0,3348000000,,5414000000,392000000,,4769000000.0,123000000,0.0,-11339000000.0,1896000000,306000000.0,5211000000.0,4198000000,1791000000.0,1192000000.0,521000000,561000000.0,,14973000000.0,5445000000.0,14412000000.0,,VMW
2019-06-30,,17801000000,4000000,,,98000000,10078000000,5074000000,,22898000000.0,,0.0,1445000000.0,385000000,,,3726000000,20204000000.0,,-6277000000,11523000000.0,,38147000000.0,,26624000000.0,,CCI
2019-06-30,65711000,,,2290242000,583580999.9999999,,152472000,121599000.00000001,,1060957000.0000001,,0.0,1108474000.0,529717000,133482000,2159268000,55821000,761957000.0,503376000,,1260946000.0,1069803000.0000001,4602703000.0,2224979000,3341757000.0,,NOW
2019-05-31,1336000000,8217000000,118000000,15066000000,5157000000,1346000000,1228000000,339000000,4905000000,3564000000.0,1244000000,11000000.0,32293000000.0,456000000,215000000,2461000000,417000000,27138000000.0,2848000000,30201000000,35323000000.0,1532000000,46288000000.0,5397000000,9378000000.0,3221000000,MU
2019-04-30,35146000,4294370000,225000,2582818000,786915999.9999999,235408000,1379125000,313415999.99999994,,1229544000.0,68390000,0.0,-1131821000.0,309987000,142918000,2108418000.0000002,106803000,1165934000.0,542843000,-2262960000,2044748000.0,1110141000,5824174000.0,2443079000,3779426000.0,,WDAY
2019-04-30,903000000,7396000000,9000000,10062000000,3116000000,,3399000000,185000000,3677000000,5311000000.0,1609000000,0.0,-585000000.0,2026000000,387000000,2690000000,1483000000,1494000000.0,2375000000,23502000000,8201000000.0,507000000,18775000000.0,3605000000,10574000000.0,22568000000,AMAT
2019-04-30,208243000,5117202000,61628000,2080489000,713601000,374165000,12250370000,4489181999.999999,608085000,5612365000.0,31616000,0.0,-508112000.000001,103092000,72825000,658271000,785184000,1211467000.0,685978000,6659449000,11742258000.0,,21776325000.0,1365035000,10034067000.0,,ADI
2019-03-31,959000000,10844000000,4000000,3611000000,576000000,53000000,13544000000,4796000000,,8898000000.0,,1000000.0,-26490000000.0,1126000000,965000000,1800000000,400000000,996000000.0,1574000000,4558000000,9896000000.0,,24073000000.0,3521000000,14170000000.0,5083000000,FIS
2019-03-31,523000000,1720000000,118000000,2285000000,334000000,6000000,5371000000,902000000,433000000,3412000000.0,,0.0,-1764000000.0,239000000,107000000,958000000,507000000,904000000.0,1334000000,1986000000,3607000000.0,,9792000000.0,1606000000,6185000000.0,,LHX
2019-03-31,,12043056000,84000,,1645149000,429308000,4808085000,2243106000,,11836890000.0,10366000,-331000.0,3617026999.999999,710685000,,,1667943000,12356032000.0,,1002053000,8425111999.999999,13833000,22491091000.0,,14066303000.0,144801000,EQIX
2019-04-30,18097000000,,15179000000,33655000000,9669000000,4884000000,40015000000,20948000000,3360000000,49778000000.0,824000000,36000000.0,-128228000000.0,4814000000,5832000000,18971000000,11672000000,5505000000.0,10517000000,-21053000000,-4690000000.0,,109892000000.0,43479000000,109779000000.0,65000000,DELL
2019-03-31,262000000,64000000,6000000,7883000000,950000000,32000000,3638000000,1185000000,,1395000000.0,109000000,0.0,7498000000.0,694000000,503000000,2112000000,668000000,2123000000.0,3712000000,11140000000,11136000000.0,2718000000,16096000000.0,2720000000,4960000000.0,,CTSH
2019-04-30,98000000,,2123100000,1422300000,883200000,,2446200000,261800000.00000018,,2228900000.0,1100000,0.0,-6339400000.0,160200000,182100000,2057000000,510300000,462500000.0,268100000.00000003,-2226800000,-245300000.0,88900000,4808500000.0,2220700000,5053800000.0,,ADSK
2019-03-31,930000000,9246000000,11000000,3677000000,983000000,70000000,289000000,222000000,955000000,1237000000.0,79000000,0.0,1499000000.0,73000000,282000000,726000000,142000000,591000000.0,1241000000,-7420000000,1788000000.0,216000000,4931000000.0,1764000000,3143000000.0,48000000,AMD
2019-03-31,166000000,11004000000,,6037000000,4696000000,,9763000000,760000000,45000000,2893000000.0,,0.0,-10271000000.0,503000000,702000000,2067000000,1142000000,512000000.0,594000000,6757000000,11596000000.0,,17948000000.0,2295000000,6352000000.0,5563000000,ATVI
2019-03-31,1952650000,2048938000,,3266522000,554896000,3745000,267012000,79697000,26679000,1024304000.0000001,526751000,0.0,464850000.0,16947000,639195000,204123000,73139000,245662000.0,1419743000,-923925000,1121589000.0,566539000,4402591000.0,2183559000,3281002000.0,,SQ
2019-06-30,206282000,8535463000,4000,7512783000,2184490000.0000005,969241000,1246883000,50721999.99999998,,2394881000.0,25518000,0.0,7097931000.000001,53525000,104962000,558215000,24781000,1677368000.0,719904000,-143709000,8344814000.0,4503427000,12521607000.0,1733738000,4176792999.9999995,,TWTR
